text,bio,pola
成 像 显 著 提 升,B-ASP I-ASP O O O O,1 1 0 0 0 0
现 在 的 清 晰 度 很 好,O O O B-ASP I-ASP I-ASP O O,0 0 0 1 1 1 0 0
效 果 还 不 错,B-ASP I-ASP O O O,1 1 0 0 0
视 频 画 面 很 棒 并 且 还 可 以 裁 切,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0
对 焦 变 得 很 爽 了,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
追 焦 很 到 位,B-ASP I-ASP O O O,1 1 0 0 0
屏 幕 变 大 变 更 清 晰 了,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
浏 览 图 片 很 爽,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
的 显 示 屏 好 多 了,O B-ASP I-ASP I-ASP O O O,0 1 1 1 0 0 0
界 面 华 丽,B-ASP I-ASP O O,1 1 0 0
照 相 也 比 好,B-ASP I-ASP O O O,1 1 0 0 0
听 筒 声 音 够 大,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
电 池 比 差 些,B-ASP I-ASP O O O,-1 -1 0 0 0
操 作 起 来 比 稍 差,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
更 人 性 化 些,B-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1
声 音 键 太 轻,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
系 统 功 能 软 件 似 乎 很 复 杂 很 多,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0
第 一 个 感 觉 就 是 比 卡 片 机 好 太 多,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1 1 1 1 1 1
高 成 像 的 质 量 比 卡 片 机 好 太 多,O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O,0 1 1 1 1 1 0 0 0 0 0 0 0
分 辨 率 也 高,B-ASP I-ASP I-ASP O O,1 1 1 0 0
那 种 细 腻 的 感 觉 的 确 很 赞,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1 1 1
锐 度 高,B-ASP I-ASP O,1 1 0
虚 化 好,B-ASP I-ASP O,1 1 0
但 是 像 素 比 较 低 现 在 觉 得 我 完 全 不 需 要 高 像 素 这 点 下 面 我 会 解 释,O O B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
分 辨 率 高,B-ASP I-ASP I-ASP O,1 1 1 0
画 质 出 色 是 毋 庸 置 疑 的,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
拍 出 来 的 清 晰 度 还 没 有 高,O O O O B-ASP I-ASP I-ASP O O O O,0 0 0 0 -1 -1 -1 0 0 0 0
对 焦 速 度 慢 这 个 完 全 不 能 和 单 反 比 啊,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0
便 宜 好 用 的 自 动 镜 头 少,O O O O O O O B-ASP I-ASP O,0 0 0 0 0 0 0 1 1 0
感 觉 对 焦 速 度 很 快,O O B-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 0 0
就 是 软 件 确 实 有 点 少 了,O O B-ASP I-ASP O O O O O O,0 0 -1 -1 0 0 0 0 0 0
做 工 比 扎 实 很 多,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
功 能 相 当 的 多,B-ASP I-ASP O O O O,1 1 0 0 0 0
设 置 相 当 的 细 腻,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
多 重 曝 光 非 常 好 玩 ∩ ##∩ 哈 哈,B-ASP I-ASP I-ASP I-ASP O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0
对 焦 点 那 个 多 啊,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
白 平 衡 和 颜 色 超 准 确 的,B-ASP I-ASP I-ASP O O O O O O O,1 1 1 0 0 0 0 0 0 0
但 我 却 很 喜 欢 真 实 的 色 彩,O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 1 1
基 本 上 同 各 位 同 学 的 感 觉 是 一 样 的 运 行 流 畅,O O O O O O O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
屏 幕 显 示 效 果 突 出,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 0 0
的 做 工 还 是 相 当 出 色 的,O B-ASP I-ASP O O O O O O O,0 1 1 0 0 0 0 0 0 0
感 觉 机 子 更 惊 艳 了,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1
就 是 的 系 统 操 作 有 些 地 方 不 简 洁,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 0
待 机 时 间 不 长,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
有 些 游 戏 可 能 运 行 很 吃 力,O O B-ASP I-ASP O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0
直 观 的 界 面,O O O B-ASP I-ASP,0 0 0 1 1
外 观 既 没 有 时 尚,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
也 没 专 业,B-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1
镜 头 是 不 错,B-ASP I-ASP O O O,1 1 0 0 0
可 是 定 焦 也 太 小 气 了,O O B-ASP I-ASP O O O O O,0 0 -1 -1 0 0 0 0 0
电 池 坑 爹,B-ASP I-ASP O O,-1 -1 0 0
尼 康 会 继 续 大 力 发 展 系 列 了 另 外 体 积 比 小 也 算 是 的 优 势 吧,O O O O O O O O O O O O O O B-ASP I-ASP O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
真 机 重 量 比 上 一 代 轻 了 很 多,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
但 是 的 触 屏 体 验 看 起 来 还 不 错,O O O B-ASP I-ASP O O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0 0
再 加 上 佳 能 的 客 服 挺 好 的,O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 1 1 0 0 0
这 块 防 爆 膜 可 能 很 坚 固,O O B-ASP I-ASP I-ASP O O O O O,0 0 1 1 1 0 0 0 0 0
居 然 发 热 控 制 得 那 么 差,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
软 件 就 算 不 是 全 高 清 的,B-ASP I-ASP O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0
操 控 的 流 畅 性 比 差 不 少,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 -1 0 0 0 0
优 点 机 身 结 实,O O B-ASP I-ASP O O,0 0 1 1 0 0
功 能 强 大,B-ASP I-ASP O O,1 1 0 0
画 质 很 好,B-ASP I-ASP O O,1 1 0 0
色 彩 还 原 真 实 鲜 艳,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
操 作 性 强,B-ASP I-ASP I-ASP O,1 1 1 0
这 机 身 重 量 还 是 偏 沉,O B-ASP I-ASP I-ASP I-ASP O O O O,0 -1 -1 -1 -1 0 0 0 0
反 应 速 度 快,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
画 质 也 好,B-ASP I-ASP O O,1 1 0 0
机 身 做 工 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
带 碎 花 纹 的 背 盖 很 薄,O O O O O B-ASP I-ASP O O,0 0 0 0 0 -1 -1 0 0
但 手 感 不 错,O B-ASP I-ASP O O,0 1 1 0 0
完 美 屏,O O B-ASP,0 0 1
可 视 角 度 还 行,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
主 观 感 觉 读 写 速 度 不 错,O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 1 0 0
结 果 对 焦 和 色 彩 让 人 失 望,O O B-ASP I-ASP O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0
另 外 高 感 也 差 很 多,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
感 觉 以 为 代 表 尼 康 新 机 色 彩 趋 向 明 艳,O O O O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
侧 滑 有 点 松,B-ASP I-ASP O O O,-1 -1 0 0 0
外 放 声 音 很 小,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
主 要 是 高 清 视 频 录 制 清 晰 度 差,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0
的 手 感 应 该 比 较 好,O B-ASP I-ASP O O O O O,0 1 1 0 0 0 0 0
外 观 上 比 较 小 巧 时 尚,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
要 说 外 观 还 是 给 力 的,O O B-ASP I-ASP O O O O O,0 0 1 1 0 0 0 0 0
另 外 就 是 我 后 面 要 说 的 由 于 系 统 垃 圾,O O O O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0
软 件 垃 圾 导 致 的 费 电,B-ASP I-ASP O O O O O O O,-1 -1 0 0 0 0 0 0 0
音 效 应 该 还 算 可 以,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
视 频 播 放 也 很 流 畅,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
优 秀 的 手 感,O O O B-ASP I-ASP,0 0 0 1 1
比 尼 康 的 手 感 都 要 好,O O O O B-ASP I-ASP O O O,0 0 0 0 1 1 0 0 0
系 统 的 系 系 和 系 的 摄 像 功 能 都 相 当 强 大,O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0
摄 像 画 质 好 过 同 时 期 的 佳 能 尼 康 的 半 幅 机 新 上 市 的 尼 康 那 块 东 芝 的 感 光 元 件 听 说 更 强,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
丰 富 的 功 能,O O O B-ASP I-ASP,0 0 0 1 1
但 索 尼 强 大 的 电 子 技 术 让 其 用 户 可 以 享 受 一 些 其 他 用 户 没 有 的 新 技 术,O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O O O O,0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
是 非 常 有 前 途 的 系 统,O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 1 1
人 说 这 个 机 器 的 做 工 不 好,O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 -1 -1 0 0
信 号 不 好,B-ASP I-ASP O O,-1 -1 0 0
索 尼 的 感 光 元 件 很 出 色,O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 1 1 1 1 0 0 0
拍 出 来 的 照 片 色 调 有 些 奇 怪,O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 -1 -1 -1 -1 0 0 0 0
暂 时 还 不 够 丰 富 的 系 统,O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 -1 -1
目 前 还 没 有 配 的 既 小 巧 又 足 够 强 大 的 闪 光 灯,O O O O O O O O O O O O O O O O B-ASP I-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1
电 源 和 音 量 键 的 手 感 实 在 差 强 人 意,B-ASP I-ASP O O O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
感 觉 那 个 音 效 增 强 功 能 很 强 大,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 0 0 1 1 1 1 1 1 0 0 0
不 过 超 薄 的 设 计 还 是 很 吸 引 眼 球,O O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 0 1 1 0 0 0 0 0 0 0
小 巧 的 高 画 质,O O O O B-ASP I-ASP,0 0 0 0 1 1
画 质 优 秀,B-ASP I-ASP O O,1 1 0 0
对 焦 尚 可,B-ASP I-ASP O O,1 1 0 0
手 感 不 错,B-ASP I-ASP O O,1 1 0 0
最 便 宜 的 摄 像 机,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1
操 作 更 加 便 捷,B-ASP I-ASP O O O O,1 1 0 0 0 0
松 下 的 的 触 摸 屏 灵 敏 快 速,O O O O B-ASP I-ASP I-ASP O O O O,0 0 0 0 1 1 1 0 0 0 0
配 置 相 比 小 米 要 好 的 多,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
播 放 音 乐 放 扬 声 器 真 的 觉 得 丢 人,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
在 优 秀 的 画 质 之 上,O O O O B-ASP I-ASP O O,0 0 0 0 1 1 0 0
是 性 能 优 秀,O B-ASP I-ASP O O,0 1 1 0 0
性 价 比 上 佳 的 机 器,B-ASP I-ASP I-ASP O O O O O,1 1 1 0 0 0 0 0
对 焦 比 较 快 速 准 确,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
握 在 手 里 比 尼 康 手 感 要 好,O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 1 1 0 0
屏 幕 非 常 赞,B-ASP I-ASP O O O,1 1 0 0 0
分 辨 率 高,B-ASP I-ASP I-ASP O,1 1 1 0
系 统 非 常 流 畅,B-ASP I-ASP O O O O,1 1 0 0 0 0
通 话 质 量 很 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
外 放 声 音 有 点 小,B-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 0 0 0
但 内 放 音 质 很 好,O B-ASP I-ASP I-ASP I-ASP O O,0 1 1 1 1 0 0
手 机 大 小 适 中,O O B-ASP I-ASP O O,0 0 1 1 0 0
手 感 很 好,B-ASP I-ASP O O,1 1 0 0
当 然 后 壳 有 点 软,O O B-ASP I-ASP O O O,0 0 -1 -1 0 0 0
但 又 感 觉 机 器 太 大 太 重 了,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
价 格 对 我 来 说 也 贵 了,B-ASP I-ASP O O O O O O O,-1 -1 0 0 0 0 0 0 0
照 片 效 果 也 很 好,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
首 先 机 子 比 较 小,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1
另 外 就 是 分 辨 率 确 实 弱 了 点,O O O O B-ASP I-ASP I-ASP O O O O O,0 0 0 0 -1 -1 -1 0 0 0 0 0
触 控 还 算 灵,B-ASP I-ASP O O O,1 1 0 0 0
信 号 强,B-ASP I-ASP O,1 1 0
声 音 比 较 大,B-ASP I-ASP O O O,1 1 0 0 0
个 人 认 为 地 图 不 怎 么 实 用,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
系 统 流 畅 度 还 行,B-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 0 0
页 面 滑 动 很 顺,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
佳 能 貌 似 工 业 设 计 很 一 般,O O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 0 -1 -1 -1 -1 0 0 0
防 尘 不 好,B-ASP I-ASP O O,-1 -1 0 0
下 面 的 金 属 质 感 很 强,O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 1 1 1 1 0 0
成 像 优 秀,B-ASP I-ASP O O,1 1 0 0
操 控 优 秀 的 个 机 子,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
翻 转 屏 非 常 好 用,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
单 手 操 作 方 便,O O B-ASP I-ASP O O,0 0 1 1 0 0
感 受 屏 幕 分 辨 率 不 错,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 1 0 0
阳 光 下 清 晰 度 高,O O O B-ASP I-ASP I-ASP O,0 0 0 1 1 1 0
外 形 对 于 全 幅 机 来 说 算 是 比 较 小 巧,B-ASP I-ASP O O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
所 以 手 感 上 面 也 比 较 不 错,O O B-ASP I-ASP O O O O O O O,0 0 1 1 0 0 0 0 0 0 0
不 仅 保 留 了 优 秀 的 做 工,O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 1 1
的 万 像 素 全 画 幅 传 感 器 显 得 更 加 实 用,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0
的 高 感 画 质 相 当 不 错,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
配 备 的 显 示 器 显 示 效 果 比 较 真 实,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 1 1 1 1 1 1 1 0 0 0 0
而 且 显 示 器 的 可 视 角 度 也 不 错,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 1 1 1 1 0 0 0
的 宽 容 度 不 错,O B-ASP I-ASP I-ASP O O,0 1 1 1 0 0
对 于 物 品 的 质 感 的 表 现 上 也 比 较 到 位,O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0
在 肩 屏 的 信 息 显 示 量 上 也 不 够 丰 富,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 -1 -1 -1 -1 -1 0 0 0 0 0 0
且 目 前 售 价 也 略 高,O O O B-ASP I-ASP O O O,0 0 0 -1 -1 0 0 0
材 料 做 工 质 感 非 常 差 劲,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 -1 0 0 0 0
屏 幕 亮 度 色 彩 都 好,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 0 0
系 统 流 畅 不 卡,B-ASP I-ASP O O O O,1 1 0 0 0 0
质 感 太 差,B-ASP I-ASP O O,-1 -1 0 0
屏 幕 太 大,B-ASP I-ASP O O,-1 -1 0 0
但 握 持 感 更 强 烈,O B-ASP I-ASP I-ASP O O O,0 1 1 1 0 0 0
手 感 更 好,B-ASP I-ASP O O,1 1 0 0
同 步 音 乐 铃 声 照 片 视 频 比 较 麻 烦,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0
系 统 的 漂 亮 界 面,O O O O O B-ASP I-ASP,0 0 0 0 0 1 1
界 面 漂 亮,B-ASP I-ASP O O,1 1 0 0
连 拍 很 给 力 哦,B-ASP I-ASP O O O O,1 1 0 0 0 0
多 帧 降 噪 真 的 很 不 错 都 比 我 的 的 都 好,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
拍 拍 分 钟 以 内 的 视 频 真 的 清 晰 无 比,O O O O O O O B-ASP I-ASP O O O O O O,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
屏 幕 真 的 很 舒 服,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
高 感 强 大,B-ASP I-ASP O O,1 1 0 0
前 面 的 阻 尼 转 圈 很 实 在,O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 1 1 1 1 0 0 0
好 像 油 漆 有 点 软 啊,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
充 电 感 觉 不 是 很 方 便,B-ASP I-ASP O O O O O O O,-1 -1 0 0 0 0 0 0 0
变 焦 感 觉 有 点 慢 哦,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
但 是 对 焦 真 的 很 好,O O B-ASP I-ASP O O O O,0 0 1 1 0 0 0 0
真 的 感 觉 的 技 术 很 强 大,O O O O O B-ASP I-ASP O O O,0 0 0 0 0 1 1 0 0 0
电 池 也 如 大 家 说 的 一 样 使 劲 折 腾 的 话 真 是 不 怎 么 耐 用,B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
的 样 子 见 仁 见 智 了,O B-ASP I-ASP O O O O O,0 -1 -1 0 0 0 0 0
屏 幕 大,B-ASP I-ASP O,1 1 0
而 且 反 应 好 快,O O B-ASP I-ASP O O,0 0 1 1 0 0
另 外 的 信 号 也 不 错,O O O B-ASP I-ASP O O O,0 0 0 1 1 0 0 0
的 金 属 听 筒 也 很 牢 固,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
我 觉 得 的 机 身 手 感 很 不 理 想,O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 -1 -1 -1 -1 0 0 0 0
以 前 很 多 人 都 说 的 机 身 差,O O O O O O O O B-ASP I-ASP O,0 0 0 0 0 0 0 0 -1 -1 0
塑 料 感 强,B-ASP I-ASP I-ASP O,-1 -1 -1 0
密 封 不 好 等,B-ASP I-ASP O O O,-1 -1 0 0 0
画 面 细 腻,B-ASP I-ASP O O,1 1 0 0
屏 幕 画 质 很 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
可 视 角 度 很 大,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
整 机 手 感 很 棒,O O B-ASP I-ASP O O,0 0 1 1 0 0
整 体 不 错,B-ASP I-ASP I-ASP I-ASP,1 1 1 1
画 质 优 秀,B-ASP I-ASP O O,1 1 0 0
画 质 出 色 基 本 可 以 肯 定,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
高 表 现 出 色,B-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1
高 清 摄 像,O O B-ASP I-ASP,0 0 1 1
分 辨 率 还 比 尼 康 的 高,B-ASP I-ASP I-ASP O O O O O O,1 1 1 0 0 0 0 0 0
使 用 感 受 运 行 还 算 流 畅,O O O O B-ASP I-ASP O O O O,0 0 0 0 1 1 0 0 0 0
就 是 屏 幕 的 显 示 效 果 一 般,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 -1 0 0
文 字 显 示 不 是 很 清 晰,B-ASP I-ASP I-ASP I-ASP O O O O O,-1 -1 -1 -1 0 0 0 0 0
打 电 话 声 音 还 比 较 清 晰,O O O B-ASP I-ASP O O O O O,0 0 0 1 1 0 0 0 0 0
所 以 让 人 感 觉 塑 料 感 稍 重,O O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 -1 0 0
采 用 了 可 翻 转 英 寸 万 像 素 液 晶 屏 显 示 效 果 出 色,O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0
重 量 较 轻,B-ASP I-ASP O O,1 1 0 0
个 人 感 觉 这 个 设 计 非 常 棒,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1 1 1
合 焦 精 准,B-ASP I-ASP O O,1 1 0 0
快 门 响 应 迅 速 和 干 脆,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
视 野 率 取 景 器 明 亮,O O O B-ASP I-ASP I-ASP O O,0 0 0 1 1 1 0 0
景 深 表 现 也 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
使 用 机 身 背 布 的 八 方 向 功 能 转 盘 调 整 对 焦 时 响 应 速 度 快 捷,O O O O O O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0
的 测 光 准 确,O B-ASP I-ASP O O,0 1 1 0 0
佳 能 作 为 元 价 位 的 中 专 端 机 其 性 能 还 是 非 常 优 秀 的,O O O O O O O O O O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
全 高 清 视 频 拍 摄 功 能 等 众 多 亮 点 再 加 上 元 区 较 高 的 性 价 比,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O,0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
和 还 是 比 较 细 腻 的,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1
配 件 不 多,B-ASP I-ASP O O,-1 -1 0 0
而 且 定 价 太 高 了,O O B-ASP I-ASP O O O,0 0 -1 -1 0 0 0
软 件 不 太 好 使,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
而 且 使 用 速 度 狂 慢 我 用 的 是 苹 果 一 体 机,O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O,0 0 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0
网 的 信 号 一 般,O O B-ASP I-ASP O O,0 0 -1 -1 0 0
用 的 时 候 快 门 声 音 很 怪,O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 -1 -1 -1 -1 0 0
画 质 素 质 不 俗,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
操 控 绝 对 是 蛮 专 业 的,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
还 有 几 个 试 用 者 也 表 示 这 个 光 圈 环 很 是 舒 服,O O O O O O O O O O O O B-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0
信 号 链 接 不 好,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
机 子 的 电 池 不 行,O O O B-ASP I-ASP O O,0 0 0 -1 -1 0 0
光 线 好 的 时 候 照 片 质 量 很 高,O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 1 1 1 1 0 0
总 体 噪 点 还 是 不 少,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
补 光 灯 强 度 也 偏 低,B-ASP I-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 -1 0 0 0
总 体 效 果 其 实 很 不 错,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
电 池 续 航 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
